
symbol,price,volume,time
AAPL,209.0,23835513,2025-07-14 18:29:59.789798
AAPL,209.01,23858020,2025-07-14 18:30:24.854938
AAPL,209.0469,23866628,2025-07-14 18:30:35.971975
AAPL,209.2217,24334749,2025-07-14 18:43:03.063363
AAPL,209.25,24337186,2025-07-14 18:43:13.637223
AAPL,209.2405,24341059,2025-07-14 18:43:23.340531
AAPL,209.2598,24343900,2025-07-14 18:43:33.013001
AAPL,209.247,24352847,2025-07-14 18:43:42.730177
AAPL,209.23,24353409,2025-07-14 18:43:52.455335
AAPL,209.2201,24356095,2025-07-14 18:44:02.147875
AAPL,209.24,24361355,2025-07-14 18:44:12.664108
AAPL,209.2696,24364545,2025-07-14 18:44:22.348
AAPL,209.31,24379713,2025-07-14 18:44:32.289296
AAPL,209.3006,24386025,2025-07-14 18:44:42.009042
AAPL,209.3102,24388379,2025-07-14 18:44:51.714565
AAPL,209.3,24395723,2025-07-14 18:45:01.472474
AAPL,209.2902,24401427,2025-07-14 18:45:12.298386
AAPL,209.26,24411067,2025-07-14 18:45:22.057161
AAPL,209.28,24417648,2025-07-14 18:45:31.815906
AAPL,209.29,24422709,2025-07-14 18:45:41.522810
AAPL,209.2998,24427266,2025-07-14 18:45:52.265034
AAPL,209.29,24437971,2025-07-14 18:46:02.273010
AAPL,209.3,24441570,2025-07-14 18:46:12.722552
AAPL,209.2948,24444373,2025-07-14 18:46:22.670390
AAPL,209.3086,24447151,2025-07-14 18:46:32.799155
AAPL,209.315,24454256,2025-07-14 18:46:42.693380
AAPL,209.32,24460886,2025-07-14 18:46:52.423162
AAPL,209.31,24464237,2025-07-14 18:47:02.131258
AAPL,209.3101,24468549,2025-07-14 18:47:12.049534
AAPL,209.335,24474251,2025-07-14 18:47:21.755607
AAPL,209.335,24478178,2025-07-14 18:47:31.680445
AAPL,209.2778,24495383,2025-07-14 18:47:41.580905
AAPL,209.26,24505311,2025-07-14 18:47:51.518990
AAPL,209.26,24513751,2025-07-14 18:48:02.443473
AAPL,209.2114,24522274,2025-07-14 18:48:12.488365
AAPL,209.22,24528844,2025-07-14 18:48:22.406493
AAPL,209.22,24532225,2025-07-14 18:48:32.388611
AAPL,209.225,24536401,2025-07-14 18:48:42.338566
AAPL,209.22,24542396,2025-07-14 18:48:52.208583
AAPL,209.22,24549217,2025-07-14 18:49:02.157049
AAPL,209.2,24556823,2025-07-14 18:49:15.699155
AAPL,209.195,24561765,2025-07-14 18:49:25.893297
AAPL,209.1701,24564885,2025-07-14 18:49:35.888673
AAPL,209.185,24573731,2025-07-14 18:49:45.764345
AAPL,209.215,24587566,2025-07-14 18:49:57.961514
AAPL,209.2099,24592172,2025-07-14 18:50:08.151332
AAPL,209.2602,24604120,2025-07-14 18:50:18.171867
AAPL,209.26,24609738,2025-07-14 18:50:28.064094
AAPL,209.275,24612718,2025-07-14 18:50:37.931441
AAPL,209.3,24617946,2025-07-14 18:50:47.803568
AAPL,209.3058,24621837,2025-07-14 18:50:57.690428
AAPL,209.275,24631148,2025-07-14 18:51:07.643198
AAPL,209.3304,24639123,2025-07-14 18:51:17.533095
AAPL,209.355,24645747,2025-07-14 18:51:27.555308
AAPL,209.385,24651138,2025-07-14 18:51:38.296972
AAPL,209.3713,24658849,2025-07-14 18:51:48.194360
AAPL,209.39,24675632,2025-07-14 18:51:58.116253
AAPL,209.38,24682505,2025-07-14 18:52:08.063668
AAPL,209.3762,24691133,2025-07-14 18:52:18.039787
AAPL,209.34,24699667,2025-07-14 18:52:28.084470
AAPL,209.3201,24702401,2025-07-14 18:52:38.014354
AAPL,209.335,24709225,2025-07-14 18:52:47.943786
AAPL,209.3687,24713622,2025-07-14 18:52:57.855492
AAPL,209.38,24725286,2025-07-14 18:53:07.812848
AAPL,209.395,24728705,2025-07-14 18:53:17.731013
AAPL,209.3713,24733996,2025-07-14 18:53:27.735913
AAPL,209.385,24738539,2025-07-14 18:53:37.604435
AAPL,209.3623,24741311,2025-07-14 18:53:47.463342
AAPL,209.365,24743312,2025-07-14 18:53:57.416434
AAPL,209.3601,24748000,2025-07-14 18:54:07.331183
AAPL,209.36,24756492,2025-07-14 18:54:17.606698
AAPL,209.36,24761489,2025-07-14 18:54:27.576632
AAPL,209.38,24767611,2025-07-14 18:54:37.489300
AAPL,209.36,24772846,2025-07-14 18:54:47.476766
AAPL,209.3613,24774347,2025-07-14 18:54:57.462426
AAPL,209.365,24781155,2025-07-14 18:55:08.032698
AAPL,209.38,24784800,2025-07-14 18:55:17.899905
AAPL,209.38,24792383,2025-07-14 18:55:27.830048
AAPL,209.39,24796256,2025-07-14 18:55:37.822363
AAPL,209.3913,24799352,2025-07-14 18:55:47.837349
AAPL,209.395,24806053,2025-07-14 18:55:57.743792
AAPL,209.37,24821556,2025-07-14 18:56:07.714274
AAPL,209.395,24826071,2025-07-14 18:56:17.689057
AAPL,209.34,24833387,2025-07-14 18:56:27.578144
AAPL,209.35,24843246,2025-07-14 18:56:37.468407
AAPL,209.34,24846131,2025-07-14 18:56:47.490666
AAPL,209.35,24855451,2025-07-14 18:56:57.398789
